"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RA8ZK7QT","journalArticle","2010","Sutton, Peter","Aboriginal spirituality in a new age: Aboriginal spirituality in a new age","The Australian Journal of Anthropology","","10358811","10.1111/j.1757-6547.2010.00068.x","https://onlinelibrary.wiley.com/doi/10.1111/j.1757-6547.2010.00068.x","","2010-04","2021-08-17 03:14:07","2021-11-01 01:22:18","","71-89","","1","21","","","Aboriginal spirituality in a new age","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XPHMLTF2","journalArticle","2011","Stephenson, Peta","Indigenous Australia's Pilgrimage to Islam","Journal of Intercultural Studies","","0725-6868, 1469-9540","10.1080/07256868.2011.565737","http://www.tandfonline.com/doi/abs/10.1080/07256868.2011.565737","","2011-06","2021-08-17 03:14:07","2021-11-01 01:22:07","","261-277","","3","32","","Journal of Intercultural Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IWWI2JR7","journalArticle","2011","Muecke, Stephen","Australian Indigenous Philosophy","CLCWeb: Comparative Literature and Culture","","1481-4374","10.7771/1481-4374.1741","https://docs.lib.purdue.edu/clcweb/vol13/iss2/3","In his article ""Australian Indigenous Philosophy"" Stephen Muecke discusses the fact that neither Australian philosophy nor Indigenous Australian philosophy exists as a field of study. Settler Australians have imported their philosophical traditions and have left it up to other disciplines to undertake the translation work of knowledge in the long-lived Indigenous traditions. Here, anthropology, history, and cultural studies have taken up the challenge. Muecke revisits his 2004 book Ancient and Modern: Time, Culture and Indigenous Philosophy in order to refine some of his arguments about philosophical practice and the damaging periodization into ""ancient"" and ""modern"" cultures in colonial societies like Australia.","2011-06-01","2021-08-17 03:14:07","2021-11-01 01:20:11","","","","2","13","","CLCWeb: Comparative Literature and Culture","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IFK7PRBV","journalArticle","2001","Magowan, Fiona","Syncretism or Sychronicity? Remapping the Yolngu Feel of Place","The Australian Journal of Anthropology","","1757-6547","10.1111/j.1835-9310.2001.tb00077.x","http://onlinelibrary.wiley.com/doi/abs/10.1111/j.1835-9310.2001.tb00077.x","For Christian Yolngu in Arnhem Land visions shape the imagined, embodied and affective experiences of places of danger, illness, healing and general wellbeing. In this paper, I argue that Yolngu have consistently constructed their Christian faith through visions stemming from an ancestral aesthetic embodied in the environment. As a result, religious ideology and social action have sometimes been seen as syncretic, raising questions about how Yolngu understand and experience Christian conversion, encounter and revelation. I argue that Yolngu spiritual experiences emerge from the sentiments associated with ancestral places that act as emotive sites for remapping an ancestral aesthetic as Christian experience. The resultant emotional and spiritual synchronicity underlies a Yolngu Christianity that is corporeal and abstracted, negotiated and strategic, practical and experiential.","2001","2021-08-17 03:14:07","2021-11-01 01:19:36","","275-290","","3","12","","","Syncretism or Sychronicity?","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1835-9310.2001.tb00077.x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3VI6XDMM","journalArticle","2013","Stephenson, Peta","Syncretic Spirituality: Islam in Indigenous Australia","Islam and Christian–Muslim Relations","","0959-6410, 1469-9311","10.1080/09596410.2013.816015","http://www.tandfonline.com/doi/abs/10.1080/09596410.2013.816015","","2013-10","2021-08-17 03:14:07","2021-11-01 01:22:10","","427-444","","4","24","","Islam and Christian–Muslim Relations","Syncretic Spirituality","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H63WBZFQ","journalArticle","2007","Pratt, Greg","Reflections of an Indigenous Counsellor: Sharing the Journey – Therapist and Person?","Australasian Psychiatry","","1039-8562","10.1080/10398560701701205","https://doi.org/10.1080/10398560701701205","Objective: Therapy in the form of counselling for Indigenous Australians is much debated. Effective engagement is the key to productive therapy. This paper notes some of the constraints of mainstream therapeutic methodologies and makes suggestions to ensure a therapeutic setting for both the person and therapist born from my experience as a counsellor working in government and community settings, with adults, young people and children, and in mental health, substance use and social/emotional wellbeing. What follows is an iteration of the importance of engagement and adopting a whole of life view to counselling.Findings: The ?whole of life view to mental health? as described in the 1989 National Aboriginal Health Strategy is used as a reference from which to elaborate on various counselling principles. Five key elements are discussed in relation to engagement and therapy for Indigenous Australians. To focus on the specifics of task-oriented therapy can be detrimental to the relationship between therapist and person. The role of the person in the determination of their therapeutic goals and the mannerisms of the therapist strongly influence the counselling process and its outcomes. Indigenous Australia has long emphasized the significance of the person as a part of a wider world influenced primarily by their relationships with people (specifically family and community), culture, spirituality and the environment.Conclusion: An Indigenous Australian view of the world influences the way in which Indigenous Australians interact with the world and avail themselves to it. Effective therapy is dependent on the relationship between the therapist and the person, a relationship which must be based on respect, reciprocity, accountability, humility and an appreciation of the significance of how a holistic view of the world influences one's sense of self.","2007-02-01","2021-08-17 03:14:07","2021-11-01 01:21:02","","S54-S57","","1_suppl","15","","Australas Psychiatry","Reflections of an Indigenous Counsellor","","","","","","","","","","","","SAGE Journals","","Publisher: SAGE Publications Ltd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C7MPL2LP","journalArticle","2007","McGrath, Pam","‘I don’t want to be in that big city; this is my country here': Research findings on Aboriginal peoples' preference to die at home","Australian Journal of Rural Health","","1440-1584","10.1111/j.1440-1584.2007.00904.x","http://onlinelibrary.wiley.com/doi/abs/10.1111/j.1440-1584.2007.00904.x","Objective: The present article provides findings from a two-year study on Indigenous palliative care conducted in the Northern Territory that explored and documented wishes in relation to place of death for rural and remote Aboriginal people. Design: Qualitative, open-ended interviews, audio-recorded, transcribed verbatim, and thematically analysed. Participants: There were a total of 72 interviews completed with Indigenous patients (n = 10), Indigenous caregivers (n = 19), Indigenous and non-Indigenous health care workers (n = 41), and interpreters (n = 2). Results: The findings provide a clear articulation of the wish of Aboriginal people from rural and remote areas to die at home connected to land and family. Strong cultural reasons were given for this preference, including the strong connection with land and community, a belief in ‘death country’, the importance of passing on sacred knowledge to the appropriate family member, the significance of ensuring that the dying individual's ‘animal spirit’ is able to return to the land, and the imperative that the ‘right person’ in the family network is available to provide the care. Conclusion: The strong wish to die at home informs the importance of building up local health and palliative care services and avoiding, where possible, the need for relocation for health care to the major metropolitan hospitals during end-of-life care.","2007","2021-08-17 03:14:07","2021-11-01 01:19:50","","264-268","","4","15","","","‘I don’t want to be in that big city; this is my country here'","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1440-1584.2007.00904.x","","","","","Aboriginal; death and dying; Indigenous; palliative care; qualitative; rural and remote","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PZ8PM5LF","journalArticle","2010","McDonald, Heather","Universalising the particular? God and Indigenous spirit beings in East Kimberley","The Australian Journal of Anthropology","","1757-6547","10.1111/j.1757-6547.2010.00067.x","http://onlinelibrary.wiley.com/doi/abs/10.1111/j.1757-6547.2010.00067.x","Some Aboriginal discourses in East Kimberley appear to indicate that Indigenous particularities are being universalised by evangelical Christianity. The aim of evangelical Christianity is to bring all peoples under the domain of one God. But counter statements by people of all ages reveal that the Christian universalising project in East Kimberley is an unfinished (and possibly unfinishable) project. Although Indigenous particularities contribute to generational conflict they are not disappearing, while Aboriginal people remain on or near the lands in which their stories are embedded. Locative traditions emphasise genealogical continuities between the living and the dead. Evangelical missionaries, however, direct spirits of the living to heaven and condemn spirits of the dead to follow Satan. One Aboriginal woman has reached a kind of resolution between God and Indigenous spirits: mamu and juwarri (spirits of the dead) are not evil spirits but sinners who will be redeemed in the Last Days.1","2010","2021-08-17 03:14:07","2021-11-01 01:19:45","","51-70","","1","21","","","Universalising the particular?","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1757-6547.2010.00067.x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E99VAI3Y","journalArticle","2020","Manhire, Ryan","James L. Cox: Restoring the Chain of Memory: T.G.H. Strehlow and the Repatriation of Australian Indigenous Knowledge","Temenos - Nordic Journal of Comparative Religion","","2342-7256","10.33356/temenos.95696","https://journal.fi/temenos/article/view/95696","","2020-06-15","2021-08-17 03:14:07","2021-11-01 01:19:39","","153-156","","1","56","","Temenos","James L. Cox","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HWVU44XQ","journalArticle","2017","Love, Pettina; Moore, Melissa; Warburton, Jeni","Nurturing spiritual well-being among older people in Australia: Drawing on Indigenous and non-Indigenous way of knowing","Australasian Journal on Ageing","","1741-6612","10.1111/ajag.12284","http://onlinelibrary.wiley.com/doi/abs/10.1111/ajag.12284","Aim The meaning of spiritual well-being as a health dimension is often contested and neglected in policy and practice. This paper explores spiritual well-being from both an Indigenous and a non-Indigenous perspective. Method We drew on Indigenous and non-Indigenous methodologies to explore the existing knowledge around spiritual well-being and its relationship with health. Results The Indigenous perspective proposed that spiritual well-being is founded in The Dreaming, informs everyday relationships and can impact on health. The non-Indigenous perspective suggested that spiritual well-being is shaped by culture and religion, is of increased importance as one ages, and can improve coping and resilience stressors. Conclusions Situating these perspectives side by side allows us to learn from both, and understand the importance of spirituality in people's lives. Further research is required to better address the spiritual well-being/health connection in policy and practice.","2017","2021-08-17 03:14:07","2021-11-01 01:19:32","","179-185","","3","36","","","Nurturing spiritual well-being among older people in Australia","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/ajag.12284","","","","","Indigenous; health; non-Indigenous; older people; spiritual well-being","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GY5CHW9R","journalArticle","2006","Davis, Megan","A culture of disrespect : Indigenous peoples and Australian public institutions.","UTS Law Review","","","10.3316/agispt.20081014","http://search.informit.org/doi/abs/10.3316/agispt.20081014","Incapacity of Australian public institutions to adequately respond to Indigenous culture and notions of religion and spirituality - critical analysis of institutionalised racism faced by Indigenous Australians - the potential of the Constitution to be used to the detriment of Indigenous rights - lack of a treaty with Indigenous peoples - lack of reform in areas of the law which disadvantage Aboriginal peoples - disadvantage suffered by Aboriginal women through the application of distorted customary law - the solution to this issue lies in a combination of reforms which should include a bill of rights and a treaty.","2006","2021-08-17 03:14:07","2021-11-01 06:49:04","","135-152","","8","","","","A culture of disrespect","","","","","","","","","","","","search-informit-org.simsrad.net.ocs.mq.edu.au (Atypon)","","Publisher: Copyright Agency","","","","","ABORIGINES; AUSTRALIA; CONSTITUTIONS; CUSTOMARY LAW; HUMAN RIGHTS; Kartinyeri v Commonwealth of Australia (1998) 152 ALR 540; RACIAL DISCRIMINATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LLPSEJ9N","book","2006","","The social archaeology of Australian indigenous societies","","978-0-85575-499-0","","","","","2006","2021-08-17 03:14:07","2021-08-17 03:14:07","","","382","","","","","","","","","","Aboriginal Studies Press","Canberra, A.C.T","en","","","","","Library of Congress ISBN","GN666 .S594 2006","","","","","","Australia; Aboriginal Australians; Social archaeology; History; Social life and customs; Antiquities","David, Bruno; Barker, Bryce; McNiven, Ian J.; Australian Institute of Aboriginal and Torres Strait Islander Studies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZZIKQ4U9","journalArticle","2010","Calma, Tom","Respect, Tolerance and Reconciliation Rather than Opposition and Denial: Indigenous Spirituality, Land, and the Future of Religion in Australia","Pacifica: Australasian Theological Studies","","1030-570X, 1839-2598","10.1177/1030570X1002300305","http://journals.sagepub.com/doi/10.1177/1030570X1002300305","This paper, composed by an Indigenous Australian, who has been for many years national Race Discrimination Commissioner, discusses the future of religion in Australian society from the perspective of the anthropological, cultural and spiritual heritage of Indigenous Australians, who comprise the longest surviving culture in the world (over 60,000 years). Pervasive in every aspect of Indigenous life is a traditional spirituality, ""the Dreaming"", that is also essentially tied to the Land. While Indigenous culture and the Christianity brought by missionaries in the nineteenth and twentieth centuries can co-exist, contemporary Indigenous wellbeing is inseparable from spiritual wellbeing and in particular secure ownership of the land. Indigenous peoples of the world have a particular collective value as holders of a living heritage about the meaning of what it really is to be a human in relation to the natural world. The second half of the paper clarifies and reflects upon the reaction to research conducted by the author when Race Discrimination Commissioner and certain preliminary findings of that research. In the face of negative reaction in some quarters it is argued that people of faith should have nothing to fear about proposals to enshrine freedom of religion and belief in law.","2010-10","2021-08-17 03:14:07","2021-11-01 01:17:53","","322-336","","3","23","","Pacifica","Respect, Tolerance and Reconciliation Rather than Opposition and Denial","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6J47484B","book","2002","Atkinson, Judy","Trauma Trails, Recreating Song Lines: Recreating Song Lines","","978-1-74219-208-6","","","http://ebookcentral.proquest.com/lib/mqu/detail.action?docID=410460","Taking readers into the depths of sadness and despair and into the heights of celebration and hope, this disturbing account details the trauma suffered by Australia's indigenous people and the resultant ""trauma trails"" spread throughout the country.","2002","2021-08-17 03:14:07","2021-11-01 01:17:34","","","","","","","","Trauma Trails, Recreating Song Lines","","","","","Spinifex Press","North Melbourne, AUSTRALIA","","","","","","ProQuest Ebook Central","","","","","","","Aboriginal Australians - Crimes against.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
